timestamp,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,delta,sequence_id,label
13:42.9,3.78626,7.763359,52.106869,-0.048522,0.032907,0.099291,0.822529,29,x
13:43.1,-52.854961,32.366413,49.625954,0.026846,-0.005331,0.052988,0.20111,29,x
13:43.3,-90.412216,-13.496183,-80.343513,0.054016,-0.010229,0.16884,0.200891,29,x
13:43.5,-16.954199,-28.137405,-121.687019,0.012097,-0.017103,0.221692,0.200395,29,x
13:43.7,95.656487,4.984733,-44,-0.057345,-0.015804,0.178718,0.198224,29,x
13:43.9,92.709923,13.221375,78.870232,-0.021163,-0.005142,0.071281,0.203135,29,x
13:44.1,15.580153,41.29771,48.305344,0.056397,0.033097,0.068981,0.198565,29,x
13:44.9,-8.549619,67.748093,44.625954,-0.047223,0.004871,0.061106,0.822318,30,x
13:45.1,-124.39695,27.893129,1.549618,0.087248,-0.014965,0.096287,0.200549,30,x
13:45.3,-73.419846,-8.068703,-128.511444,0.060538,-0.017157,0.20808,0.203484,30,x
13:45.5,49.67939,-14.870229,-117.488548,-0.054368,-0.027739,0.21582,0.200325,30,x
13:45.7,126.083969,14.152672,31.80916,-0.068494,-0.02671,0.146703,0.200959,30,x
13:45.9,53.595421,49.900764,64.877861,0.023977,0.007929,0.051716,0.200318,30,x
15:25.7,31.961832,33.366413,-19.29771,-0.007334,0.046276,0.127814,99.747188,31,x
15:25.9,-5.839694,-16.641222,50.007633,-0.060863,0.016264,0.078778,0.199735,31,x
15:26.1,-118.045799,28.12977,24.557251,0.046411,-0.010771,0.068061,0.200648,31,x
15:26.3,-76.938934,15.351145,-111.809158,0.078724,-0.041973,0.212762,0.202722,31,x
15:26.5,51.64122,23.114504,-192.412216,-0.028794,-0.073555,0.221692,0.200872,31,x
15:26.7,154.28244,58.732826,-0.625954,-0.083541,-0.044598,0.135283,0.200734,31,x
15:26.9,65.129768,82.099236,147.114502,-0.061945,-0.009418,0.046114,0.198392,31,x
15:27.1,-1.778626,-45.778625,-11.557252,0.04771,0.053015,0.114094,0.200789,31,x
15:27.3,-8.38168,-7.938931,7.389313,-0.001705,0.066086,0.100454,0.202,31,x
15:28.1,51.221375,20.015266,-0.145038,-0.047656,0.047277,0.10519,0.822659,32,x
15:28.3,-65.664124,5,119.763359,-0.040268,-0.004763,0.02257,0.201256,32,x
15:28.5,-131.824432,-12.580153,30.068703,0.116421,-0.020648,0.144484,0.198863,32,x
15:28.7,-93.809158,49.572517,-156,0.054232,-0.061241,0.178637,0.20003,32,x
15:28.9,59.35878,47.167938,-196.35878,-0.100969,-0.081457,0.221692,0.20228,32,x
15:29.1,170.145035,63.916031,43.969467,-0.069604,-0.048793,0.13826,0.200337,32,x
15:29.3,51.091602,93.015266,175.854965,-0.019864,-0.00847,0.038374,0.201299,32,x
15:29.5,-15.755725,2.374046,-21.358778,0.079508,0.058589,0.127706,0.20081,32,x
15:31.2,39.396946,22.916031,-3.763359,0.035127,0.057859,0.140209,1.624924,33,x
15:31.4,28.740458,27.877863,97.511452,-0.028821,0.008795,0.015967,0.201986,33,x
15:31.6,-147.343506,8.648855,97.145035,0.114337,-0.045085,0.069279,0.201481,33,x
15:31.8,-134.152664,14.221375,-110.572517,0.154416,-0.044463,0.139099,0.199085,33,x
15:32.0,-28.755726,58.648853,-194.572525,0.037319,-0.056506,0.216036,0.200561,33,x
15:32.2,174.786255,37.251907,6.954198,-0.044923,-0.034558,0.151737,0.202492,33,x
15:32.4,44.572517,112.030533,92.175575,0.028578,0.026602,0.019376,0.199044,33,x
15:32.6,0.969466,-49.763359,32.404579,0.056668,0.057588,0.076667,0.200597,33,x
15:33.3,10.862596,194.526718,-20.022902,-0.030553,0.055531,0.128328,0.721884,34,x
15:33.5,11.198473,-4.473282,70.816795,-0.053231,0.027847,0.035695,0.201395,34,x
15:33.7,-142.984726,10.862596,88.877861,0.064651,-0.025222,0.046033,0.200643,34,x
15:33.9,-84.694656,42.061069,-105.488548,0.101375,-0.052311,0.166215,0.201569,34,x
15:34.1,-4.770992,-29.877863,-218.251907,-0.017482,-0.084515,0.221692,0.197469,34,x
15:34.3,170.160309,0.946565,-43.969467,-0.080672,-0.040837,0.203426,0.20379,34,x
15:34.5,109.236641,83.740456,97.854965,-0.0525,-0.016589,-0.023706,0.198405,34,x
